brand_name,industry,times_advertised,linkedin_slug,domain,google_url
ETHERIO Scent Lab,Beauty,96,,,https://www.google.com/search?q=ETHERIO%20Scent%20Lab%20official%20website%20Greece
Muagreece,Beauty,96,,,https://www.google.com/search?q=Muagreece%20official%20website%20Greece
Arla,Dairy,96,,,https://www.google.com/search?q=Arla%20official%20website%20Greece
Too Faced,Beauty,96,too-faced,,https://www.google.com/search?q=Too%20Faced%20official%20website%20Greece
Under Armour,Apparel,95,,,https://www.google.com/search?q=Under%20Armour%20official%20website%20Greece
Tommy Hilfiger,Apparel,94,,,https://www.google.com/search?q=Tommy%20Hilfiger%20official%20website%20Greece
Melissa,Fashion,94,,,https://www.google.com/search?q=Melissa%20official%20website%20Greece
Nikos Oikonomopoulos,Music,94,,,https://www.google.com/search?q=Nikos%20Oikonomopoulos%20official%20website%20Greece
iFacebyChristina,Beauty,94,,,https://www.google.com/search?q=iFacebyChristina%20official%20website%20Greece
7DAYS,Beauty,93,7days-beauty,,https://www.google.com/search?q=7DAYS%20official%20website%20Greece
Il Toto,Food,93,,,https://www.google.com/search?q=Il%20Toto%20official%20website%20Greece
CFMOTO,Automotive,93,,,https://www.google.com/search?q=CFMOTO%20official%20website%20Greece
Ο δικαστής που αγάπησε το κακό (The Judge Who Loved Evil),Publishing,93,,,https://www.google.com/search?q=%CE%9F%20%CE%B4%CE%B9%CE%BA%CE%B1%CF%83%CF%84%CE%AE%CF%82%20%CF%80%CE%BF%CF%85%20%CE%B1%CE%B3%CE%AC%CF%80%CE%B7%CF%83%CE%B5%20%CF%84%CE%BF%20%CE%BA%CE%B1%CE%BA%CF%8C%20%28The%20Judge%20Who%20Loved%20Evil%29%20official%20website%20Greece
My7Days,Beauty,93,7days-beauty,,https://www.google.com/search?q=My7Days%20official%20website%20Greece
Kylie Cosmetics,Beauty,93,kylie-cosmetics,,https://www.google.com/search?q=Kylie%20Cosmetics%20official%20website%20Greece
Cheetos,Food,92,,,https://www.google.com/search?q=Cheetos%20official%20website%20Greece
Pico Bello Clean,Cleaning Products,92,,,https://www.google.com/search?q=Pico%20Bello%20Clean%20official%20website%20Greece
Lurpak,Dairy,91,,,https://www.google.com/search?q=Lurpak%20official%20website%20Greece
Tommy G Cosmetics,Beauty,91,gavrilis-group-sa,,https://www.google.com/search?q=Tommy%20G%20Cosmetics%20official%20website%20Greece
Untitled Folders,Apparel and Fashion,91,,,https://www.google.com/search?q=Untitled%20Folders%20official%20website%20Greece
SkinCeuticals,Beauty,91,skinceuticals,,https://www.google.com/search?q=SkinCeuticals%20official%20website%20Greece
Old Spice,Beauty,90,old-spice,,https://www.google.com/search?q=Old%20Spice%20official%20website%20Greece
Aloe Colors,Beauty,90,aloe-colors,,https://www.google.com/search?q=Aloe%20Colors%20official%20website%20Greece
Doritos,Food,89,,,https://www.google.com/search?q=Doritos%20official%20website%20Greece
